strain	date	url	pango_lineage	genbank_accession	S1_mutations	clade_membership	recency	mutational_fitness	epiweek	region	emerging_lineage	host	country	division	current_frequency	author	accession	originating_lab	submitting_lab	logistic_growth
Wuhan-Hu-1/2019	2019-12-26		B	MN908947		19A	Older		201952	Asia		Homo sapiens	China	China		Wu et al				
Wuhan/WH01/2019	2019-12-26		B	LR757998		19A	Older	-0.01	201952	Asia		Homo sapiens	China	Hubei		Hunter et al		BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China	Beijing Genome Institute	
THA/SI200615-NT/2020	2020-01-29		B	MT447160		19A	Older	-0.01	202005	Asia		Homo sapiens	Thailand	Thailand		Rodpan et al A				
USA/MA-CDC-03038398-001/2020	2020-01-29		B	MT039888		19A	Older	0.01	202005	North America		Homo sapiens	USA	Massachusetts		Paden et al				
Mesocricetusauratus/HKG/13_P2/2020	2020-05-15		B	MT835140		19A	Older	0.01	202020	Asia		Mesocricetus auratus	Hong Kong	Hong Kong		Chen et al A				
AUS/SA01/2020	2020-01-30		B.1	MT745746		19A	Older	0.00	202005	Oceania		Homo sapiens	Australia	South Australia		Caly et al A		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/SA03/2020	2020-01-30		B.1	MT745748		19A	Older	0.00	202005	Oceania		Homo sapiens	Australia	South Australia		Caly et al B		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC01/2020	2020-01-25		B	MT007544	1.00	19A	Older	-0.10	202004	Oceania		Homo sapiens	Australia	Victoria		Caly et al C		Monash Medical Centre	The Peter Doherty Institute for Infection and Immunity	
SWE/01/2020	2020-02-07		B	MT093571		19A	Older	-0.11	202006	Europe		Homo sapiens	Sweden	Sweden		Bengner et al				
HongKong/12_2201/2020	2020-01-30		B	MT232665		19A	Older	-0.10	202005	Asia		Homo sapiens	Hong Kong	Hong Kong		Leung et al				
ITA/INMI1/2020	2020-01-30		B	MT066156		19A	Older	-0.10	202005	Europe		Homo sapiens	Italy	Italy		Capobianchi et al				
HongKong/HKPU-00020/2020	2020-02-09		B.42	MZ266369		19A	Older	-0.10	202007	Asia		Homo sapiens	Hong Kong	Hong Kong		Siu et al A				
AUS/VIC03/2020	2020-01-25		B	MT450920		19A	Older	-0.10	202004	Oceania		Homo sapiens	Australia	Victoria		Seemann et al A		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
